tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26651,1650215287.971,"19:08:07,971000",3157,4967,947,0.016,0.063,-0.003,55,1,950,"{'x': 0.1875, 'y': -0.125, 'z': -0.125}","{'x': 0.75, 'y': 7.1875, 'z': -15.875}",2
26651,1650215288.12,"19:08:08,120000",3159,4965,953,0.016,0.063,-0.003,56,4,952,"{'x': 0.125, 'y': 0.0625, 'z': 0.125}","{'x': 1.1875, 'y': 6.75, 'z': -14.6875}",2
26660,1650215288.18,"19:08:08,180000",3619,5654,1032,4.217,0.088,-0.109,52,47,965,"{'x': -7.25, 'y': -9.5625, 'z': 52.3125}","{'x': 11.6875, 'y': -16.25, 'z': -33.0625}",2
26651,1650215288.266,"19:08:08,266000",3157,4967,940,0.016,0.063,-0.003,55,0,952,"{'x': 0.25, 'y': -0.125, 'z': -0.0625}","{'x': 0.75, 'y': 6.75, 'z': -14.6875}",2
26660,1650215288.338,"19:08:08,338000",3581,5777,967,4.172,0.071,-0.129,-18,62,963,"{'x': 18.375, 'y': 39.875, 'z': 38.4375}","{'x': 9.0625, 'y': -16.6875, 'z': -33.5625}",2
26651,1650215288.418,"19:08:08,418000",3153,4967,939,0.016,0.063,-0.003,58,0,956,"{'x': -0.125, 'y': 0.0625, 'z': 0}","{'x': 1.1875, 'y': 6.375, 'z': -15.5}",2
26660,1650215288.492,"19:08:08,492000",3558,5885,1052,4.078,0.085,-0.092,89,88,940,"{'x': -4.25, 'y': 6.125, 'z': 13.125}","{'x': 9.75, 'y': -17.0625, 'z': -33.375}",2
26651,1650215288.574,"19:08:08,574000",3149,4967,956,0.016,0.063,-0.003,56,1,952,"{'x': -0.125, 'y': 0.0625, 'z': 0}","{'x': 0, 'y': 7.1875, 'z': -16.75}",2
26660,1650215288.644,"19:08:08,644000",3533,6000,1082,4.004,0.067,-0.092,70,102,1047,"{'x': -1.75, 'y': -11.0625, 'z': 31}","{'x': 10.0625, 'y': -18.1875, 'z': -33.0625}",2
26651,1650215288.743,"19:08:08,743000",3148,4968,957,0.016,0.063,-0.003,56,0,955,"{'x': -0.0625, 'y': 0.0625, 'z': -0.0625}","{'x': 0.75, 'y': 7.1875, 'z': -13.875}",2
26660,1650215288.804,"19:08:08,804000",3489,6105,1093,3.963,0.06,-0.145,-14,151,950,"{'x': 28.75, 'y': 17.5, 'z': 15.25}","{'x': 9.25, 'y': -19, 'z': -33.0625}",2
26651,1650215288.901,"19:08:08,901000",3153,4963,965,0.016,0.063,-0.003,54,2,953,"{'x': 0.125, 'y': -0.0625, 'z': -0.125}","{'x': 0.75, 'y': 6.75, 'z': -15.0625}",2
